,standard_regression_coefficients
raw_material_1,-0.2277129696313704
raw_material_2,-0.1257925040441619
raw_material_3,0.2662295301684415
temperature,-0.03920825226569008
time,-0.03596160527813314
raw_material_1^2,-0.15477168356711107
raw_material_1*raw_material_2,-0.1306973542276924
raw_material_1*raw_material_3,-0.24240886834023265
raw_material_1*temperature,0.004646203406072212
raw_material_1*time,-0.031170192808674585
raw_material_2^2,0.14063405384758548
raw_material_2*raw_material_3,-0.22351349020072267
raw_material_2*temperature,0.03380180133964664
raw_material_2*time,-0.01119652303700553
raw_material_3^2,0.3765986140738617
raw_material_3*temperature,-0.04171811179423239
raw_material_3*time,-0.01553510983104913
temperature^2,0.017246427482886406
temperature*time,0.06326548109765825
time^2,-0.00849566402595081
